nom_standard,code_insee,code_postal,dep_code,dep_nom,population,maire_nom,maire_prenom
L'Abergement-Clémenciat,01001,1400.0,01,Ain,832.0,BOULON,Daniel
L'Abergement-de-Varey,01002,1640.0,01,Ain,267.0,DEYGOUT,Philippe
Ambérieu-en-Bugey,01004,1500.0,01,Ain,14854.0,FABRE,Daniel
Ambérieux-en-Dombes,01005,1330.0,01,Ain,1897.0,FORNES,Christine
Ambléon,01006,1300.0,01,Ain,113.0,BIONDA,Annie
Ambronay,01007,1500.0,01,Ain,2833.0,MANCUSO,Vincent
Ambutrix,01008,1500.0,01,Ain,768.0,DELOFFRE,Dominique
Andert-et-Condon,01009,1300.0,01,Ain,322.0,GUILLERMIN,Patrick
Anglefort,01010,1350.0,01,Ain,1125.0,THIBOUD,Bernard
Apremont,01011,1100.0,01,Ain,383.0,DOCHE,Claude
Aranc,01012,1110.0,01,Ain,327.0,MATHIEU,Daniel
Arandas,01013,1230.0,01,Ain,141.0,MANOS,Lionel
Arbent,01014,1100.0,01,Ain,3409.0,CRACCHIOLO,Philippe
Arboys en Bugey,01015,1300.0,01,Ain,667.0,RIERA,Michel-Charles
Arbigny,01016,1190.0,01,Ain,459.0,GRAS,Daniel
Argis,01017,1230.0,01,Ain,432.0,BOU,Laurent
Armix,01019,1510.0,01,Ain,26.0,VUILLOUD,Véronique
Ars-sur-Formans,01021,1480.0,01,Ain,1498.0,PACCAUD,Richard
Artemare,01022,1510.0,01,Ain,1177.0,DESCHAMPS,Roland
Asnières-sur-Saône,01023,1570.0,01,Ain,77.0,WILLEMS,Jean-Marc
Attignat,01024,1340.0,01,Ain,3336.0,MARTIN,Walter
Bâgé-Dommartin,01025,1380.0,01,Ain,4065.0,BERNIGAUD,Christian
Bâgé-le-Châtel,01026,1380.0,01,Ain,979.0,MALATERRE,Jean Louis
Balan,01027,1360.0,01,Ain,2692.0,MEANT,Patrick
Baneins,01028,1990.0,01,Ain,621.0,GRANGE,Jean-Pierre
Beaupont,01029,1270.0,01,Ain,700.0,JANODET,Gérard
Beauregard,01030,1480.0,01,Ain,830.0,GUYON,Nadia
Bellignat,01031,1100.0,01,Ain,3636.0,RAVET,Véronique
Béligneux,01032,1360.0,01,Ain,3434.0,FERRAND,Philippe
Valserhône,01033,1200.0,01,Ain,16295.0,PETIT,Régis
Belley,01034,1300.0,01,Ain,9239.0,LAHUERTA,Dimitri
Belleydoux,01035,1130.0,01,Ain,306.0,COURTOIS,Pascal
Valromey-sur-Séran,01036,1260.0,01,Ain,1342.0,GODET,Pauline
Bénonces,01037,1470.0,01,Ain,310.0,RIGHETTI-GILOTTE,Sylvie
Bény,01038,1370.0,01,Ain,764.0,BAVOUX,Patrick
Béréziat,01040,1340.0,01,Ain,480.0,THEVENON,Jean-Jacques
Bettant,01041,1500.0,01,Ain,749.0,VIGNOLLET,Marie-Françoise
Bey,01042,1290.0,01,Ain,290.0,GENTIL,Michel
Beynost,01043,1700.0,01,Ain,4877.0,TERRIER,Caroline
Billiat,01044,1200.0,01,Ain,626.0,BEAUQUIS,Jean-Marc
Birieux,01045,1330.0,01,Ain,284.0,BAILLET,Cyril
Biziat,01046,1290.0,01,Ain,904.0,AGATY,Guillaume
Blyes,01047,1150.0,01,Ain,1292.0,MARTIN,Daniel
La Boisse,01049,1120.0,01,Ain,3361.0,RAPHANEL,Gérard
Boissey,01050,1380.0,01,Ain,386.0,TIRREAU,Andrée
Bolozon,01051,1450.0,01,Ain,95.0,GIROD,Etienne
Bouligneux,01052,1330.0,01,Ain,327.0,COMTET,Laurent
Bourg-en-Bresse,01053,1000.0,01,Ain,41525.0,DEBAT,Jean-François
Bourg-Saint-Christophe,01054,1800.0,01,Ain,1517.0,PERRET,Bernard
Boyeux-Saint-Jérôme,01056,1640.0,01,Ain,356.0,CHAPEL,Marie-Christine
Boz,01057,1190.0,01,Ain,510.0,GIRAUD,Alain
Brégnier-Cordon,01058,1300.0,01,Ain,818.0,VERGAIN,Thierry
Brénod,01060,1110.0,01,Ain,518.0,RAVOT,Etienne
Brens,01061,1300.0,01,Ain,1129.0,LACHIZE PICCINO,Sandrine
Bressolles,01062,1360.0,01,Ain,978.0,RACCURT,Andrée
Brion,01063,1460.0,01,Ain,576.0,GUINET,Sébastien
Briord,01064,1470.0,01,Ain,1099.0,MERLE,Serge
Buellas,01065,1310.0,01,Ain,1851.0,CHANEL,Michel
